출발지,도착지,거리 (km)
공학1관,공학1관_앞_0,0.012145750022146668
공학1관_앞_0,공학1관,0.012145750022146668
공학1관_앞_0,공학1관_앞,0.012145747688794813
공학1관_앞_0,공학1관_앞_1,0.027441757400763902
공학1관_앞_0,공학1관_앞_2,0.0219347114164821
공학1관_앞_0,공학1관_앞_3,0.017016763989777663
공학1관_앞_0,공학1관_앞_4,0.013355378285506925
공학1관_앞_0,본관_상경 삼거리,0.03324643898285645
공학1관_앞_0,본관_상경_삼거리2,0.050922587032716404
공학1관_앞_0,농구장_상경11,0.044976795540776444
공학1관_앞_0,농구장_상경12,0.039076953602609994
공학1관_앞_0,농구장_상경_보의관1,0.07277285036472486
공학1관_앞_0,농구장_상경_보의관2,0.06703232977240899
공학1관_앞_0,농구장_상경_보의관3,0.0618205315212898
공학1관_앞_0,농구장_상경_보의관4,0.057281955886257584
공학1관_앞_0,농구장_상경_보의관5,0.05358793113975607
공학1관_앞_0,상경_보의관1,0.07892681162275975
공학1관_앞_0,상경_보의관2,0.08486614160080329
공학1관_앞_0,상경_보의관3,0.09127420697888977
공학1관_앞_0,상경_보의관4,0.09805915659536157
공학1관_앞_0,상경_보의관5,0.10514805741847384
공학1관_앞_0,상경_보의관6,0.11248345750375095
공학1관_앞_0,상경_보의관_삼거리,0.12002163623743085
공학1관_앞_0,보의관_조형_흡연구역1,0.19169271934643975
공학1관_앞_0,보의관_조형_흡연구역1_1,0.21379149076707318
공학1관_앞_0,보의관_조형_흡연구역1_2,0.2078669338250993
공학1관_앞_0,보의관_조형_흡연구역1_3,0.20219421004192106
공학1관_앞_0,보의관_조형_흡연구역1_4,0.19679509833226075
공학1관_앞_0,보의관_조형1,0.18334414817008002
공학1관_앞_0,보의관_조형2,0.1751666990063124
공학1관_앞_0,보의관_조형3,0.16718548410863604
공학1관_앞_0,보의관_조형4,0.15942997762038538
공학1관_앞_0,보의관_조형5,0.15193474773864776
공학1관_앞_0,보의관_조형6,0.14474023505592012
공학1관_앞_0,보의관_조형7,0.13789351729520002
공학1관_앞_0,보의관_조형8,0.13144895246100038
공학1관_앞_0,보의관_조형9,0.12546852491669827
공학1관_앞_0,인사관_조형학관,0.21994753147076107
공학1관_앞_0,멀베리1,0.26495317344418845
공학1관_앞_0,멀베리2,0.255856808597845
공학1관_앞_0,멀베리3,0.2469341201119553
공학1관_앞_0,멀베리4,0.22896064793362464
공학1관_앞_0,인사관_디정관23,0.23820462589583005
공학1관_앞_0,멀베리_삼거리,0.2742059305370786
공학1관_앞_0,기숙사_오르막길,0.29047374513957375
공학1관_앞_0,기숙사_오르막길1,0.2887416281775985
공학1관_앞_0,제2엘림생활관,0.2714792658884416
공학1관_앞_0,2관_입구,0.2800967119195504
공학1관_앞_0,기숙사_오르막길2,0.28954220884453485
공학1관_앞_0,기숙사_오르막길3,0.2888660286964654
공학1관_앞_0,기숙사_오르막길4,0.2884470006994945
공학1관_앞_0,기숙사_오르막길5,0.28828624635546846
공학1관_앞_0,기숙사_오르막길6,0.28838419774349855
공학1관_앞_0,기숙사_오르막길_멀베리1,0.2861345049307468
공학1관_앞_0,기숙사_오르막길_멀베리2,0.2819714945019651
공학1관_앞_0,기숙사_오르막길_멀베리3,0.27799263100683314
공학1관_앞,공학1관_앞_0,0.012145747688794813
공학1관_앞,공학1관_앞_1,0.02535462705208834
공학1관_앞,공학1관_앞_2,0.019015970470899514
공학1관_앞,공학1관_앞_3,0.01267731376978872
공학1관_앞,공학1관_앞_4,0.006338656946983482
공학1관_앞,본관_상경 삼거리,0.03169328350946962
공학1관_앞,본관_상경_삼거리2,0.049963556409603406
공학1관_앞,농구장_상경11,0.04387241168754306
공학1관_앞,농구장_상경12,0.037782455099138315
공학1관_앞,농구장_상경_보의관1,0.0649468152182571
공학1관_앞,농구장_상경_보의관2,0.060097782028778815
공학1관_앞,농구장_상경_보의관3,0.056003548534193016
공학1관_앞,농구장_상경_보의관4,0.0528398619355878
공학1관_앞,농구장_상경_보의관5,0.050780942873662804
공학1관_앞,상경_보의관1,0.07039484060597642
공학1관_앞,상경_보의관2,0.07704853669125421
공학1관_앞,상경_보의관3,0.08410361956090737
공학1관_앞,상경_보의관4,0.09146725657964117
공학1관_앞,상경_보의관5,0.0990706697561822
공학1관_앞,상경_보의관6,0.10686269019095268
공학1관_앞,상경_보의관_삼거리,0.11480660976080515
공학1관_앞,보의관_조형_흡연구역1,0.18193358460429845
공학1관_앞,보의관_조형_흡연구역1_1,0.2052094299909243
공학1관_앞,보의관_조형_흡연구역1_2,0.19899793072363547
공학1관_앞,보의관_조형_흡연구역1_3,0.19303216922646302
공학1관_앞,보의관_조형_흡연구역1_4,0.18733562379679414
공학1관_앞,보의관_조형1,0.1738130326392895
공학1관_앞,보의관_조형2,0.16589583854249507
공학1관_앞,보의관_조형3,0.15821253466874338
공학1관_앞,보의관_조형4,0.15079887627452315
공학1관_앞,보의관_조형5,0.1436966048685147
공학1관_앞,보의관_조형6,0.13695417390558143
공학1관_앞,보의관_조형7,0.1306273160989455
공학1관_앞,보의관_조형8,0.12477926214693033
공학1관_앞,보의관_조형9,0.1194803395153688
공학1관_앞,인사관_조형학관,0.21164503187817865
공학1관_앞,멀베리1,0.25541395829624847
공학1관_앞,멀베리2,0.24651740002637307
공학1관_앞,멀베리3,0.23781631104423523
공학1관_앞,멀베리4,0.22035745246747493
공학1관_앞,인사관_디정관23,0.22933294162074164
공학1관_앞,멀베리_삼거리,0.26448626118784624
공학1관_앞,기숙사_오르막길,0.280045522663291
공학1관_앞,기숙사_오르막길1,0.27735657262926267
공학1관_앞,제2엘림생활관,0.260184343539753
공학1관_앞,2관_입구,0.2687546998272711
공학1관_앞,기숙사_오르막길2,0.27893117006452606
공학1관_앞,기숙사_오르막길3,0.2780807401710935
공학1관_앞,기숙사_오르막길4,0.27749665966457765
공학1관_앞,기숙사_오르막길5,0.2771806125060786
공학1관_앞,기숙사_오르막길6,0.27713351588020935
공학1관_앞,기숙사_오르막길_멀베리1,0.2758656398437824
공학1관_앞,기숙사_오르막길_멀베리2,0.27187353325777364
공학1관_앞,기숙사_오르막길_멀베리3,0.2680775916815661
공학1관_앞_1,공학1관_앞_0,0.027441757400763902
공학1관_앞_1,공학1관_앞,0.02535462705208834
공학1관_앞_1,공학1관_앞_2,0.006338656579736559
공학1관_앞_1,공학1관_앞_3,0.012677313281894425
공학1관_앞_1,공학1관_앞_4,0.019015970104713655
공학1관_앞_1,본관_상경 삼거리,0.006338656458733552
공학1관_앞_1,본관_상경_삼거리2,0.024618025594460732
공학1관_앞_1,농구장_상경11,0.01852390445245619
공학1관_앞_1,농구장_상경12,0.012430477107251417
공학1관_앞_1,농구장_상경_보의관1,0.04820377346583083
공학1관_앞_1,농구장_상경_보의관2,0.04144990011131091
공학1관_앞_1,농구장_상경_보의관3,0.035264482274804804
공학1관_앞_1,농구장_상경_보의관4,0.030001205312872977
공학1관_앞_1,농구장_상경_보의관5,0.02622136764433359
공학1관_앞_1,상경_보의관1,0.05531828188001926
공학1관_앞_1,상경_보의관2,0.0599463195207541
공학1관_앞_1,상경_보의관3,0.06544393435938531
공학1관_앞_1,상경_보의관4,0.0716111322527487
공학1관_앞_1,상경_보의관5,0.07828983567259305
